"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.982523962E0,-3.274480057E1,-6.417200089E0,1.470099926E1,3.646260825E1
2.992523962E0,-3.283020020E1,-6.807600021E0,1.393239975E1,3.630808761E1
3.002523962E0,-3.284239960E1,-7.185800076E0,1.317599964E1,3.610908335E1
3.012523962E0,-3.272039795E1,-7.637199879E0,1.252939987E1,3.585996549E1
3.022523962E0,-3.268379974E1,-7.917799950E0,1.183399963E1,3.565060826E1
3.032523962E0,-3.275699997E1,-8.283800125E0,1.102880001E1,3.554260572E1
3.042523962E0,-3.281800079E1,-8.552199364E0,1.010159969E1,3.538648904E1
3.052523962E0,-3.290340042E1,-8.808400154E0,9.113399506E0,3.526011519E1
3.062523962E0,-3.298880005E1,-9.003600121E0,8.369199753E0,3.520467651E1
3.072523962E0,-3.298880005E1,-9.174399376E0,7.405399799E0,3.503242040E1
3.082523962E0,-3.307419968E1,-9.345199585E0,6.478199959E0,3.497431221E1
3.092523962E0,-3.318399811E1,-9.467200279E0,5.526599884E0,3.494780276E1
3.102523962E0,-3.317179871E1,-9.601399422E0,4.709199905E0,3.485300079E1
3.112523962E0,-3.314739990E1,-9.662400246E0,3.855199814E0,3.474154090E1
3.122523962E0,-3.317179871E1,-9.735599518E0,3.037799835E0,3.470415473E1
3.132523962E0,-3.317179871E1,-9.772199631E0,2.293599844E0,3.465724622E1
3.142523962E0,-3.304980087E1,-9.821000099E0,1.549399972E0,3.451292542E1
3.152523962E0,-3.295219803E1,-9.857600212E0,9.882000089E-1,3.440924550E1
3.162523962E0,-3.275699997E1,-9.808799744E0,4.757999778E-1,3.419736810E1
3.172523962E0,-3.259840012E1,-9.784399986E0,-2.439999953E-2,3.403514020E1
3.182523962E0,-3.263499832E1,-9.711199760E0,-6.344000101E-1,3.405514615E1
3.192523962E0,-3.261059952E1,-9.674599648E0,-1.146799922E0,3.403475032E1
